BookID,Title,Author,Downloads
10292,"Punchinello, Volume 2, No. 36, December 3, 1870",Various,5
10293,"Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru, el año de 1780",Anonymous,45
10294,"Verse and Prose for Beginners in Reading
Selected from English and American Literature","Scudder, Horace Elisha",16
10295,The Band of Gideon,Jubilee Singers,2
10296,"Swing Low, Sweet Chariot",Jubilee Singers,5
10297,Saxema,"Wiedoeft, Rudy",8
10298,"Flow Gently Sweet Afton and Bonnie, Sweet Bessie","Spilman, Jonathan E.",20
10299,Poet and Peasant Overture,"Peabody, Eddie",9
103,Around the World in Eighty Days,"Verne, Jules",2930
1030,The Cavalier Songs and Ballads of England from 1642 to 1684,"Mackay, Charles",17
10300,"Snyder, Does Your Mother Know You're Out?","Watson, George P.",8
10301,Who Threw the Overalls in Mrs. Murphy's Chowder?,"Favor, Edward M.",14
10302,Just Because She Made Dem Goo-Goo Eyes,"Dobbs, John",13
10303,Jere Sanford's Yodling and Whistling Specialty,"Sanford, Jere",7
10304,"Some of These Days
From Honky Tonk","Tucker, Sophie",15
10305,Alexander's Ragtime Band,"Murray, Billy",32
10306,Moonlight Bay,"Madden, Edward",45
10307,At the Moving Picture Ball,"Santly, Joseph H.",6
10308,"Handel Festival
Israel in Egypt (excerpt)","Manns, August Friedrich, Sir",15
10309,The Lost Chord,"Sullivan, Arthur",13
1031,"Charmides, and Other Poems","Wilde, Oscar",15
10310,After Dinner Toast at Little Menlo,"Sullivan, Arthur",6
10311,Around the World on the Phonograph,"Edison, Thomas A. (Thomas Alva)",13
10312,The Pattison Waltz,"Stewart, Effie",1
10313,The Fifth Regiment March,Issler's Orchestra,5
10314,The Sonnets of Michael Angelo Buonarroti and Tommaso Campanella; Now for the First Time Translated into Rhymed English,"Symonds, John Addington",65
10315,"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",Firdawsi,101
10316,Roy Blakeley's Adventures in Camp,"Fitzhugh, Percy Keese",9
10317,"Betty Gordon at Boarding School; Or, The Treasure of Indian Chasm","Emerson, Alice B.",39
10318,Damon and Delia: A Tale,"Godwin, William",12
10319,"Dave Darrin's Third Year at Annapolis
Or, Leaders of the Second Class Midshipmen","Hancock, H. Irving (Harrie Irving)",10
1032,The Pupil,"James, Henry",53
10320,Dotty Dimple at Play,"May, Sophie",12
10321,Dragon's blood,"Rideout, Henry Milner",15
10322,"Miss Prudence
A Story of Two Girls' Lives.","Conklin, Nathaniel, Mrs.",7
10323,"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",16
10324,Bull Hunter,"Brand, Max",54
10325,The Gospel of the Pentateuch: A Set of Parish Sermons,"Kingsley, Charles",6
10326,David: Five Sermons,"Kingsley, Charles",8
10327,Alias the Lone Wolf,"Vance, Louis Joseph",37
10328,Poems,"Cassels, Walter Richard",4
